chembl_id,name,smiles,mw,hbd,hba,alogp,atc
CHEMBL54976,TRYPTOPHAN,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,204.23,3,2,1.12,N06AX02
CHEMBL931,HALOTHANE,FC(F)(F)C(Cl)Br,197.38,0,0,2.51,N01AB01
CHEMBL940,GABAPENTIN,NCC1(CC(=O)O)CCCCC1,171.24,2,2,1.37,N02BF01
CHEMBL58323,LACOSAMIDE,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,250.3,2,3,0.45,N03AX18
CHEMBL301265,PRAMIPEXOLE,CCCN[C@H]1CCc2nc(N)sc2C1,211.33,2,4,1.58,N04BC05
CHEMBL294199,CAPSAICIN,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,305.42,2,3,3.79,N01BX04;M02AB01
CHEMBL953,ENTACAPONE,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,305.29,2,6,1.78,N04BX02
CHEMBL963,OXYMORPHONE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,301.34,2,5,0.75,N02AA11
CHEMBL964,DISULFIRAM,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.55,0,4,3.62,P03AA04;P03AA54;N07BB01
CHEMBL967,TEMAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,300.75,1,3,2.47,N05CD07
CHEMBL968,FLURAZEPAM,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,387.89,0,3,4.0,N05CD01
CHEMBL969,PRAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,324.81,0,2,3.93,N05BA11
CHEMBL970,HALAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,352.74,0,2,4.09,N05BA13
CHEMBL972,SELEGILINE,C#CCN(C)[C@H](C)Cc1ccccc1,187.29,0,1,2.18,N04BD01
CHEMBL979,MEPROBAMATE,CCCC(C)(COC(N)=O)COC(N)=O,218.25,2,4,0.98,N05BC01;N05BC51;N05CX01
CHEMBL982,NALMEFENE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,339.44,2,4,2.51,N07BB05
CHEMBL70418,CLOBAZAM,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,300.75,0,2,3.37,N05BA09
CHEMBL1005,REMIFENTANIL,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,376.45,0,6,2.0,N01AH06
CHEMBL1009,LEVODOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.19,4,4,0.05,N04BA01
CHEMBL306700,VILOXAZINE,CCOc1ccccc1OCC1CNCCO1,237.3,1,4,1.45,N06AX09
CHEMBL431770,ISTRADEFYLLINE,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,384.44,0,8,2.12,N04CX01
CHEMBL1059,PREGABALIN,CC(C)C[C@H](CN)CC(=O)O,159.23,2,2,1.08,N02BF02
CHEMBL1065,METHYSERGIDE,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,353.47,2,4,1.94,N02CA04
CHEMBL1068,OXCARBAZEPINE,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,252.27,1,2,2.64,N03AF02
CHEMBL86304,MOCLOBEMIDE,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,268.74,1,3,1.4,N06AG02
CHEMBL85231,MEDIFOXAMINE,CN(C)CC(Oc1ccccc1)Oc1ccccc1,257.33,0,3,3.03,N06AX13
CHEMBL86715,PROCYCLIDINE,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,287.45,1,2,3.94,N04AA04
CHEMBL87493,FENFLURAMINE,CCNC(C)Cc1cccc(C(F)(F)F)c1,231.26,1,1,3.25,N03AX26;A08AA02
CHEMBL1085,ACETOPHENAZINE,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,411.57,1,6,3.49,N05AB07
CHEMBL1086,DIBUCAINE,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,343.47,1,4,3.49,S02DA04;S01HA06;D04AB02;N01BB06;C05AD04
CHEMBL1087,MEPIVACAINE,Cc1cccc(C)c1NC(=O)C1CCCCN1C,246.35,1,2,2.73,N01BB03;N01BB53
CHEMBL1088,MESORIDAZINE,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,386.59,0,4,4.9,N05AC03
CHEMBL1093,ARTICAINE,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,284.38,2,5,2.17,N01BB58;N01BB08
CHEMBL1094,FELBAMATE,NC(=O)OCC(COC(N)=O)c1ccccc1,238.24,2,4,0.96,N03AX10
CHEMBL1095,ETHOTOIN,CCN1C(=O)NC(c2ccccc2)C1=O,204.23,1,2,1.3,N03AB01
CHEMBL1098,BUPIVACAINE,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,288.44,1,2,3.9,N01BB01;N01BB51
CHEMBL1100,PARAMETHADIONE,CCC1(C)OC(=O)N(C)C1=O,157.17,0,3,0.76,N03AC01
CHEMBL1101,BIPERIDEN,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,311.47,1,2,3.96,N04AA02
CHEMBL1102,GLUTETHIMIDE,CCC1(c2ccccc2)CCC(=O)NC1=O,217.27,1,2,1.77,N05CE01
CHEMBL1108,DROPERIDOL,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,379.44,1,4,3.68,N05AD08
CHEMBL1112,ARIPIPRAZOLE,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,448.39,1,4,4.86,N05AX12
CHEMBL1113,AMOXAPINE,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,313.79,1,4,3.43,N06AA17
CHEMBL1115,PYRIDOSTIGMINE,CN(C)C(=O)Oc1ccc[n+](C)c1,181.22,0,2,0.57,N07AA02
