molecule_chembl_id,smiles,pref_name,mw,alogp,hbd,hba,tpsa,cns_mpo
CHEMBL1006,NCCCNCCSP(=O)(O)O,AMIFOSTINE,214.23,-0.25,4,4,95.58,3.5
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,LEVODOPA,197.19,0.05,4,4,103.78,3.5
CHEMBL306700,CCOc1ccccc1OCC1CNCCO1,VILOXAZINE,237.3,1.45,1,4,39.72,4.0
CHEMBL1013,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,LORACARBEF ANHYDROUS,349.77,0.71,3,4,112.73,4.0
CHEMBL1018,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,DIENESTROL,266.34,4.6,2,2,40.46,4.0
CHEMBL75435,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,DEXKETOPROFEN,254.29,3.11,1,2,54.37,4.0
CHEMBL1020,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,TOLMETIN,257.29,2.19,1,3,59.3,4.5
CHEMBL1021,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,NEPAFENAC,254.29,1.53,2,3,86.18,4.5
CHEMBL1024,O=P1(NCCCl)OCCCN1CCCl,IFOSFAMIDE,261.09,1.88,1,2,41.57,4.5
CHEMBL1026,CS(=O)(=O)O.Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,FENOLDOPAM MESYLATE,305.76,2.73,4,4,72.72,4.0
CHEMBL76370,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,TEGASEROD,301.39,2.81,4,3,85.29,4.0
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,MIGLUSTAT,219.28,-1.45,4,5,84.16,4.0
CHEMBL1034,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],DICLOFENAC SODIUM,296.15,4.36,2,2,49.33,4.0
CHEMBL1037,N=C(N)NCC1COC2(CCCCC2)O1,GUANADREL,213.28,0.55,3,3,80.36,4.5
CHEMBL1043,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,DAPSONE,248.31,1.68,2,4,86.18,4.5
CHEMBL1046,NCCCCCC(=O)O,AMINOCAPROIC ACID,131.18,0.59,2,2,63.32,4.5
CHEMBL311498,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,CIANIDANOL,290.27,1.55,5,6,110.38,3.5
CHEMBL1054,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,TRICHLORMETHIAZIDE,380.66,0.82,3,5,118.36,3.5
