"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Vascular","Vascular","BMP6","ACVR1_ACVR2A",0.0032523309320435,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Vip","BMP6","ACVR1_ACVR2A",0.00386687103930695,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Vip","BMP6","ACVR1_ACVR2A",0.000746336086254328,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Vip","BMP6","ACVR1_ACVR2A",0.00115774909578671,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Vip","BMP6","ACVR1_ACVR2A",0.00244063774141305,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Chandelier","BMP6","ACVR1_ACVR2B",0.00164868977725769,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Chandelier","BMP6","ACVR1_ACVR2B",0.000317584427510434,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Chandelier","BMP6","ACVR1_ACVR2B",0.00049280174127676,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Chandelier","BMP6","ACVR1_ACVR2B",0.00103973704734499,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","ExcNeuron","BMP6","ACVR1_ACVR2B",0.00195877833902785,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","ExcNeuron","BMP6","ACVR1_ACVR2B",0.000377433088813747,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","ExcNeuron","BMP6","ACVR1_ACVR2B",0.000585641836537105,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","ExcNeuron","BMP6","ACVR1_ACVR2B",0.00123545342832857,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Lamp5","BMP6","ACVR1_ACVR2B",0.00221127558276083,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Lamp5","BMP6","ACVR1_ACVR2B",0.000426142955977637,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Lamp5","BMP6","ACVR1_ACVR2B",0.00066120853162288,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Lamp5","BMP6","ACVR1_ACVR2B",0.00139478811478126,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Lamp5 Lhx6","BMP6","ACVR1_ACVR2B",0.00201873277884502,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Lamp5 Lhx6","BMP6","ACVR1_ACVR2B",0.000388993452779206,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Lamp5 Lhx6","BMP6","ACVR1_ACVR2B",0.000603577509221937,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Lamp5 Lhx6","BMP6","ACVR1_ACVR2B",0.0012732791016823,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Pax6","BMP6","ACVR1_ACVR2B",0.00249875688928684,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Pax6","BMP6","ACVR1_ACVR2B",0.000481685840186236,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Pax6","BMP6","ACVR1_ACVR2B",0.000747355410510974,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Pax6","BMP6","ACVR1_ACVR2B",0.00157631472035182,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
