names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
HAVCR2,26.487274,1.059459,1.3584911018708177e-154,1.432914490477631e-152,0.5865794329810434,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TM6SF1,26.356356,1.2768722,4.339796673358385e-153,4.538311372616864e-151,0.44921992954202317,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SLC25A37,26.139206,0.97892094,1.307418312995358e-150,1.3594550475552016e-148,0.6868981714477437,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MBP,25.82824,0.8650433,4.2728389154788274e-147,4.4178016142779816e-145,0.7524240899177991,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MICU3,25.787533,1.1613169,1.2236140025737867e-146,1.2615632706536103e-144,0.5099479953028015,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SMAD3,25.74586,1.2316803,3.5866683440192606e-146,3.687518203917105e-144,0.4779063915450428,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
GALNT2,25.745426,0.8383752,3.6269691128198153e-146,3.7185069047147916e-144,0.7245093105183694,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SRGAP2C,25.739786,0.782232,4.194490971782602e-146,4.28833977816243e-144,0.7342392216071129,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LRRC8D,25.6982,1.0833393,1.2243039546497078e-145,1.24821027978089e-143,0.5739640999832243,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LRMP,25.667429,1.193217,2.701597807336092e-145,2.746699481841897e-143,0.49287032377117934,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
IL6ST,25.63788,0.8862051,5.771991550324106e-145,5.835929909762779e-143,0.6532125482301627,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MITF,25.519556,0.9279699,1.196039508918715e-143,1.2026440128003814e-141,0.7328300620701225,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SORT1,25.471457,0.96905345,4.0846784520368917e-143,4.0847900552732863e-141,0.6691494715651737,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
