names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
CDYL,33.629803,1.1460973,6.154694796839247e-248,4.752489119390575e-246,0.666728024467603,Micro-PVM_2,DAM_vs_Homeostatic
LDLRAD4,33.62925,0.7192018,6.270205061503677e-248,4.831490009602022e-246,0.9757447893067512,Micro-PVM_2,DAM_vs_Homeostatic
LINC01410,33.412804,1.8985618,8.93483172727027e-245,6.855844361631428e-243,0.3646635704576348,Micro-PVM_2,DAM_vs_Homeostatic
HLA-DRA,33.400665,1.3700837,1.3407632152301285e-244,1.0266375405991198e-242,0.6002562868146806,Micro-PVM_2,DAM_vs_Homeostatic
CAMK1D,33.399815,1.0421438,1.3794156495908484e-244,1.054029064523479e-242,0.8036998753964658,Micro-PVM_2,DAM_vs_Homeostatic
OSBPL6,33.254166,1.8954582,1.7770105095191763e-242,1.3550075345606534e-240,0.3708795876755777,Micro-PVM_2,DAM_vs_Homeostatic
SLC8A1-AS1,33.152386,1.958007,5.232097862321284e-241,3.973029333170566e-239,0.3640759515178976,Micro-PVM_2,DAM_vs_Homeostatic
ZNF652,33.129833,1.2232896,1.1055341137942061e-240,8.377568136435143e-239,0.6050492750339828,Micro-PVM_2,DAM_vs_Homeostatic
EPB41,33.03269,1.2432706,2.757604016169996e-239,2.0853525742941742e-237,0.5878525713638423,Micro-PVM_2,DAM_vs_Homeostatic
QKI,33.019463,0.48800418,4.270119708024193e-239,3.2224876584204843e-237,0.9800421952877209,Micro-PVM_2,DAM_vs_Homeostatic
ARHGAP21,32.90621,0.97662127,1.7911813669577826e-237,1.3406754440086259e-235,0.7772924218396012,Micro-PVM_2,DAM_vs_Homeostatic
NLRP1,32.887764,1.7026931,3.288162485288018e-237,2.4561231657964644e-235,0.4109792705029452,Micro-PVM_2,DAM_vs_Homeostatic
AL353138.1,32.86518,3.903241,6.913120582462957e-237,5.153301964128853e-235,0.2443645219755324,Micro-PVM_2,DAM_vs_Homeostatic
MICU3,32.82818,1.3316566,2.333685052148508e-236,1.7360814348310475e-234,0.5357173198912552,Micro-PVM_2,DAM_vs_Homeostatic
LMO2,32.69702,1.8924649,1.7216812603542693e-234,1.275612465794061e-232,0.3580935659265972,Micro-PVM_2,DAM_vs_Homeostatic
LRRC8D,32.696037,1.2474273,1.777953736361701e-234,1.3146441354459519e-232,0.5986845831445401,Micro-PVM_2,DAM_vs_Homeostatic
P2RY13,32.5903,2.33767,5.627783981124987e-233,4.144517535073554e-231,0.3049742297236067,Micro-PVM_2,DAM_vs_Homeostatic
RGS1,32.467613,1.7210871,3.056409599297498e-231,2.2373529548777543e-229,0.4465337562301767,Micro-PVM_2,DAM_vs_Homeostatic
AUTS2,32.295692,1.0407739,8.040269748990563e-229,5.873890480694682e-227,0.8414207634798369,Micro-PVM_2,DAM_vs_Homeostatic
TLR10,32.11455,3.833724,2.7618258599242093e-226,2.005666434505674e-224,0.23816974399637517,Micro-PVM_2,DAM_vs_Homeostatic
PLPP1,31.985468,1.9636686,1.736602603731457e-224,1.2536763688200209e-222,0.3448048821930222,Micro-PVM_2,DAM_vs_Homeostatic
APOE,31.943819,1.2335138,6.58331647284427e-224,4.743227681546715e-222,0.6998116787494336,Micro-PVM_2,DAM_vs_Homeostatic
USP53,31.913261,1.218731,1.7481968861557435e-223,1.257087509433917e-221,0.6940841640235614,Micro-PVM_2,DAM_vs_Homeostatic
SORT1,31.81569,1.0995082,3.927982783702791e-222,2.8024970344309136e-220,0.6924629021295877,Micro-PVM_2,DAM_vs_Homeostatic
